project_id,state,district,project_type,current_stage,current_stage_index,project_age_days,total_parcels,completed_parcels,total_area,documentation_completeness,legal_dispute,ownership_conflict,compensation_pending_days,pending_approvals,inter_dept_dependency,rr_delay_days,previous_stage_delay_days,number_of_delayed_stages,target_delayed,target_delay_days
LA-1029,Madhya Pradesh,Bhopal,Defense Installation,Objection and Legal Review,5,636,134,41,208.81,78.1,1,0,73,3,0,45,13,1,1,63
LA-1030,Uttar Pradesh,Agra,Railway Expansion,Survey and Verification,3,829,363,213,151.67,87.0,1,1,110,3,0,38,13,0,1,124
LA-1031,Uttar Pradesh,Lucknow,Highway Construction,Land Identification,1,349,361,74,193.23,71.4,0,0,6,0,0,0,0,0,0,0
LA-1032,Maharashtra,Solapur,Highway Construction,Compensation Assessment,6,385,83,83,109.15,62.3,0,0,0,6,1,27,48,0,1,7
LA-1033,Uttar Pradesh,Meerut,Mining Development,Ownership Verification,4,823,389,77,95.06,62.9,0,0,2,1,0,0,1,0,0,0
LA-1034,Maharashtra,Nagpur,Urban Infrastructure,Land Identification,1,216,373,105,60.46,65.2,1,1,118,1,0,0,8,0,1,116
LA-1035,Maharashtra,Nashik,Power Transmission,Objection and Legal Review,5,256,364,215,113.71,62.9,0,0,17,2,0,16,15,0,0,0
LA-1036,Karnataka,Mysuru,Urban Infrastructure,Ownership Verification,4,152,56,30,208.24,94.2,0,0,23,2,0,15,21,0,0,0
LA-1037,Uttar Pradesh,Lucknow,Mining Development,Compensation Disbursement,7,159,245,153,119.94,98.3,0,0,4,2,0,0,3,0,0,0
LA-1038,Uttar Pradesh,Varanasi,Railway Expansion,Land Identification,1,871,402,380,130.88,100.0,1,1,86,1,0,0,18,0,1,124
LA-1039,Uttar Pradesh,Meerut,Highway Construction,Land Identification,1,654,214,46,73.17,90.0,0,0,7,2,1,5,0,0,0,0
LA-1040,Rajasthan,Udaipur,Power Transmission,Survey and Verification,3,749,470,274,15.38,86.4,1,1,126,1,0,47,9,0,1,114
LA-1041,Uttar Pradesh,Varanasi,Railway Expansion,Land Identification,1,509,314,213,62.97,58.6,0,0,15,2,0,14,6,0,1,25
LA-1042,Odisha,Berhampur,Highway Construction,Preliminary Notification,2,813,330,300,117.77,75.3,0,1,61,3,0,0,2,0,1,45
LA-1043,Odisha,Cuttack,Urban Infrastructure,Project Initiation,0,451,166,99,193.25,100.0,0,0,17,0,0,0,0,0,0,0
LA-1044,Odisha,Berhampur,Highway Construction,Ownership Verification,4,703,67,52,7.7,95.7,0,1,32,3,0,6,0,1,1,41
LA-1045,Rajasthan,Udaipur,Mining Development,Ownership Verification,4,44,217,217,61.31,74.5,0,0,26,2,0,4,0,0,0,0
LA-1046,Madhya Pradesh,Indore,Defense Installation,Objection and Legal Review,5,225,149,76,145.19,100.0,0,0,13,3,1,0,0,0,0,0
LA-1047,Karnataka,Mangaluru,Dam / Irrigation,Survey and Verification,3,487,124,98,79.88,65.9,0,0,6,3,0,22,0,0,0,0
LA-1048,Gujarat,Bhavnagar,Defense Installation,Land Identification,1,425,56,15,180.75,100.0,0,0,30,3,0,18,0,0,0,0
LA-1049,Gujarat,Bhavnagar,Dam / Irrigation,Compensation Assessment,6,106,451,89,59.08,35.4,0,1,85,3,0,0,48,2,1,142
LA-1050,Karnataka,Bengaluru,Defense Installation,Project Initiation,0,130,155,61,61.43,52.4,0,0,9,3,1,28,0,0,1,11
LA-1051,Rajasthan,Jodhpur,Dam / Irrigation,Survey and Verification,3,110,465,161,201.26,96.3,0,0,18,0,0,4,0,0,0,0
LA-1052,Rajasthan,Jaipur,Pipeline Project,Survey and Verification,3,383,126,75,95.65,66.2,0,0,14,0,0,0,23,0,0,0
LA-1053,Karnataka,Hubli,Highway Construction,Project Initiation,0,879,431,346,199.82,93.7,0,0,23,3,0,0,0,0,0,0
LA-1054,Madhya Pradesh,Gwalior,Industrial Corridor,Possession and Handover,10,681,163,100,91.53,87.0,0,0,3,0,0,28,8,0,0,0
LA-1055,Rajasthan,Jaipur,Power Transmission,Preliminary Notification,2,364,500,386,85.01,81.8,0,1,61,3,0,26,3,0,1,41
LA-1056,Odisha,Cuttack,Defense Installation,Objection and Legal Review,5,896,426,86,159.82,83.4,0,0,17,3,0,3,0,0,0,0
LA-1057,Gujarat,Ahmedabad,Mining Development,Ownership Verification,4,365,257,177,29.47,100.0,0,0,29,2,1,0,0,0,0,0
LA-1058,Gujarat,Rajkot,Urban Infrastructure,Compensation Assessment,6,716,485,389,237.9,100.0,0,0,23,3,0,4,22,0,0,0
LA-1059,Gujarat,Rajkot,Industrial Corridor,Ownership Verification,4,401,51,19,149.49,85.5,0,1,29,3,0,0,27,1,0,0
LA-1060,Maharashtra,Nashik,Urban Infrastructure,Preliminary Notification,2,279,146,103,32.93,100.0,0,1,55,0,0,10,12,0,0,0
LA-1061,Uttar Pradesh,Agra,Railway Expansion,Preliminary Notification,2,706,386,347,90.83,88.4,0,0,8,0,0,1,0,0,0,0
LA-1062,Madhya Pradesh,Bhopal,Pipeline Project,Project Initiation,0,545,438,438,100.7,86.4,0,0,20,3,0,30,0,0,0,0
LA-1063,Gujarat,Ahmedabad,Railway Expansion,Ownership Verification,4,359,63,45,213.27,62.8,1,0,78,3,1,60,0,0,1,43
LA-1064,Gujarat,Rajkot,Industrial Corridor,Compensation Disbursement,7,453,420,283,32.96,71.5,1,0,50,2,0,0,63,3,1,116
LA-1065,Uttar Pradesh,Allahabad,Railway Expansion,Ownership Verification,4,450,300,127,120.81,65.9,0,0,19,0,0,0,21,0,0,0
LA-1066,Odisha,Bhubaneswar,Urban Infrastructure,Project Initiation,0,895,144,79,175.82,73.7,1,1,101,1,0,71,0,0,1,90
LA-1067,Odisha,Cuttack,Defense Installation,Ownership Verification,4,101,84,18,39.77,98.0,0,1,35,1,1,11,52,1,1,35
LA-1068,Gujarat,Bhavnagar,Defense Installation,Compensation Disbursement,7,527,109,92,75.7,67.4,0,1,79,0,0,18,6,3,1,80
LA-1069,Uttar Pradesh,Kanpur,Railway Expansion,Project Initiation,0,37,240,145,230.33,62.9,0,1,58,4,1,2,0,0,1,45
LA-1070,Gujarat,Bhavnagar,Defense Installation,Land Identification,1,326,437,372,100.41,84.8,0,0,29,3,0,0,0,0,0,0
LA-1071,Maharashtra,Nagpur,Power Transmission,Preliminary Notification,2,793,79,46,38.64,73.4,0,1,65,2,1,11,28,0,1,62
LA-1072,Odisha,Sambalpur,Pipeline Project,Final Acquisition,9,802,82,82,110.22,72.7,0,0,20,2,0,0,0,0,0,0
LA-1073,Odisha,Rourkela,Highway Construction,Land Identification,1,390,241,37,145.29,86.9,0,0,26,3,0,9,7,0,0,0
LA-1074,Maharashtra,Nagpur,Industrial Corridor,Land Identification,1,359,367,218,109.72,73.6,0,0,25,1,0,28,0,0,0,0
LA-1075,Rajasthan,Udaipur,Urban Infrastructure,Land Identification,1,319,150,140,63.37,90.1,0,0,20,3,0,20,0,0,0,0
LA-1076,Madhya Pradesh,Indore,Urban Infrastructure,Preliminary Notification,2,113,334,159,198.02,44.7,1,0,92,3,0,0,13,0,1,65
LA-1077,Madhya Pradesh,Bhopal,Defense Installation,Land Identification,1,550,343,114,33.2,71.0,1,1,69,0,0,30,14,0,1,109
LA-1078,Odisha,Berhampur,Dam / Irrigation,Ownership Verification,4,768,467,383,208.86,100.0,0,0,14,3,0,19,1,0,0,0
LA-1079,Gujarat,Rajkot,Power Transmission,Preliminary Notification,2,826,452,239,93.12,100.0,0,0,25,3,0,0,2,0,0,0
LA-1080,Madhya Pradesh,Bhopal,Power Transmission,Survey and Verification,3,115,32,4,99.42,70.6,0,0,13,3,0,2,20,0,0,0
LA-1081,Maharashtra,Aurangabad,Industrial Corridor,Preliminary Notification,2,58,468,123,20.27,94.7,1,0,41,0,0,29,16,0,1,113
LA-1082,Karnataka,Belagavi,Mining Development,Land Identification,1,463,328,123,36.32,93.4,1,0,42,0,0,0,12,0,1,85
LA-1083,Madhya Pradesh,Jabalpur,Dam / Irrigation,R&R and Rehabilitation,8,710,27,13,159.1,82.2,0,0,17,3,0,0,0,0,0,0
LA-1084,Maharashtra,Aurangabad,Railway Expansion,Project Initiation,0,383,94,77,245.21,80.4,0,1,60,5,1,4,0,0,1,40
LA-1085,Maharashtra,Kolhapur,Pipeline Project,Ownership Verification,4,67,446,319,83.32,57.8,1,1,148,4,1,56,60,1,1,78
LA-1086,Karnataka,Mangaluru,Defense Installation,Land Identification,1,377,284,136,73.79,100.0,0,0,16,1,0,0,0,0,0,0
LA-1087,Uttar Pradesh,Kanpur,Pipeline Project,Objection and Legal Review,5,647,43,25,167.96,91.6,0,0,23,0,0,27,9,0,0,0
LA-1088,Karnataka,Dharwad,Dam / Irrigation,Objection and Legal Review,5,61,490,311,93.06,94.0,0,1,32,3,0,24,0,2,1,49
LA-1089,Madhya Pradesh,Gwalior,Defense Installation,Ownership Verification,4,351,107,107,31.1,74.0,0,1,39,3,0,8,5,1,1,53
LA-1090,Karnataka,Mangaluru,Railway Expansion,Preliminary Notification,2,859,119,88,35.15,67.6,1,1,102,5,1,77,0,0,1,79
LA-1091,Gujarat,Gandhinagar,Dam / Irrigation,Compensation Assessment,6,656,243,127,170.19,100.0,1,0,102,3,0,0,36,2,1,149
LA-1092,Karnataka,Belagavi,Dam / Irrigation,Survey and Verification,3,816,133,112,68.98,100.0,1,0,45,3,1,65,10,0,1,74
LA-1093,Madhya Pradesh,Sagar,Dam / Irrigation,Objection and Legal Review,5,636,28,21,237.16,100.0,0,0,19,0,0,0,23,0,0,0
LA-1094,Rajasthan,Ajmer,Defense Installation,Survey and Verification,3,662,237,40,18.71,68.0,0,0,30,2,0,9,6,0,0,0
LA-1095,Gujarat,Rajkot,Industrial Corridor,Objection and Legal Review,5,378,168,136,60.81,89.1,0,0,27,0,0,0,7,0,0,0
LA-1096,Rajasthan,Jaipur,Highway Construction,Preliminary Notification,2,327,395,160,40.26,95.7,0,0,28,1,0,0,17,0,0,0
LA-1097,Uttar Pradesh,Varanasi,Highway Construction,Project Initiation,0,122,310,286,117.91,81.5,0,0,11,3,0,1,0,0,0,0
LA-1098,Madhya Pradesh,Bhopal,Railway Expansion,Objection and Legal Review,5,471,202,18,70.29,91.4,0,0,17,3,1,6,7,0,0,0
LA-1099,Madhya Pradesh,Sagar,Railway Expansion,R&R and Rehabilitation,8,161,261,177,178.54,99.8,0,0,6,3,0,0,0,0,0,0
LA-1100,Odisha,Sambalpur,Mining Development,Objection and Legal Review,5,497,248,177,168.61,100.0,0,1,53,2,0,18,45,2,1,38
LA-1101,Karnataka,Dharwad,Highway Construction,Project Initiation,0,641,92,11,193.76,65.9,0,0,18,3,0,0,0,0,0,0
LA-1102,Gujarat,Surat,Industrial Corridor,Project Initiation,0,62,270,106,52.23,56.9,1,1,131,1,0,73,0,0,1,164
LA-1103,Uttar Pradesh,Agra,Pipeline Project,Survey and Verification,3,575,147,58,243.24,72.8,0,0,19,1,0,0,9,0,0,0
LA-1104,Uttar Pradesh,Kanpur,Industrial Corridor,R&R and Rehabilitation,8,736,463,463,238.67,77.6,0,0,3,3,0,18,0,0,0,0
LA-1105,Odisha,Cuttack,Power Transmission,Ownership Verification,4,73,60,18,60.99,75.3,0,0,6,3,1,26,27,0,0,0
LA-1106,Karnataka,Belagavi,Industrial Corridor,Preliminary Notification,2,683,249,76,72.17,82.9,0,0,30,3,0,17,5,0,0,0
LA-1107,Uttar Pradesh,Allahabad,Highway Construction,Preliminary Notification,2,817,433,138,234.18,100.0,0,0,5,0,0,0,8,0,0,0
LA-1108,Odisha,Rourkela,Highway Construction,Preliminary Notification,2,39,144,93,41.04,74.7,0,0,16,3,0,15,15,0,0,0
LA-1109,Gujarat,Bhavnagar,Power Transmission,Compensation Assessment,6,765,49,24,245.43,93.5,0,0,27,2,0,20,36,0,0,0
LA-1110,Gujarat,Vadodara,Industrial Corridor,Ownership Verification,4,36,359,229,116.62,81.1,0,0,0,2,0,0,13,0,0,0
LA-1111,Rajasthan,Kota,Mining Development,Preliminary Notification,2,750,387,344,175.63,85.4,0,0,30,3,0,4,0,0,0,0
LA-1112,Gujarat,Gandhinagar,Industrial Corridor,Project Initiation,0,810,298,298,134.4,82.5,1,0,36,1,0,0,0,0,1,96
LA-1113,Maharashtra,Kolhapur,Industrial Corridor,Project Initiation,0,764,349,186,201.83,75.2,0,0,14,3,0,18,0,0,0,0
LA-1114,Odisha,Bhubaneswar,Industrial Corridor,Preliminary Notification,2,622,196,18,248.22,64.2,1,1,100,3,0,29,18,0,1,142
LA-1115,Maharashtra,Kolhapur,Mining Development,Project Initiation,0,166,349,129,179.91,72.5,0,1,22,3,0,0,0,0,1,42
LA-1116,Rajasthan,Kota,Urban Infrastructure,Land Identification,1,188,233,50,12.64,75.2,1,0,46,0,0,30,28,0,1,38
LA-1117,Rajasthan,Jaipur,Dam / Irrigation,Objection and Legal Review,5,545,216,216,75.47,89.6,0,0,18,1,0,19,2,0,0,0
LA-1118,Karnataka,Mysuru,Defense Installation,Objection and Legal Review,5,599,197,61,46.38,98.4,0,0,25,2,0,0,0,0,0,0
LA-1119,Rajasthan,Udaipur,Dam / Irrigation,Survey and Verification,3,855,438,309,93.08,78.8,1,0,53,3,0,37,11,0,1,42
LA-1120,Uttar Pradesh,Varanasi,Highway Construction,Project Initiation,0,104,484,484,47.91,93.5,0,0,10,1,0,0,0,0,0,0
LA-1121,Odisha,Sambalpur,Industrial Corridor,Compensation Assessment,6,742,189,102,128.45,52.2,0,0,24,2,0,9,0,0,1,22
LA-1122,Karnataka,Mangaluru,Urban Infrastructure,Compensation Assessment,6,238,105,48,208.42,69.2,0,0,29,3,1,18,18,0,1,14
LA-1123,Karnataka,Hubli,Power Transmission,Preliminary Notification,2,811,474,422,222.4,82.1,0,0,5,1,0,23,9,0,0,0
LA-1124,Madhya Pradesh,Bhopal,Railway Expansion,Land Identification,1,867,35,21,154.65,79.3,0,0,7,2,0,0,7,0,0,0
LA-1125,Gujarat,Bhavnagar,Pipeline Project,Project Initiation,0,46,59,54,60.62,60.4,0,1,57,4,1,9,0,0,1,33
LA-1126,Uttar Pradesh,Varanasi,Railway Expansion,Land Identification,1,412,212,23,95.13,76.5,0,0,9,1,1,0,0,0,0,0
LA-1127,Maharashtra,Kolhapur,Dam / Irrigation,Project Initiation,0,114,113,110,141.91,80.0,0,0,27,1,0,3,0,0,0,0
LA-1128,Uttar Pradesh,Lucknow,Railway Expansion,Land Identification,1,730,88,21,212.44,100.0,1,0,76,2,0,37,0,0,1,111
LA-1129,Odisha,Cuttack,Railway Expansion,Final Acquisition,9,542,329,169,68.7,72.2,0,0,2,3,1,10,46,0,1,14
LA-1130,Uttar Pradesh,Meerut,Defense Installation,Preliminary Notification,2,472,406,110,79.51,91.4,0,0,2,6,1,2,14,0,0,0
LA-1131,Maharashtra,Nashik,Highway Construction,Objection and Legal Review,5,345,447,184,97.26,53.3,1,1,90,2,0,15,25,2,1,151
LA-1132,Rajasthan,Ajmer,Mining Development,Preliminary Notification,2,203,133,113,236.08,59.3,0,0,4,2,1,2,0,0,1,11
LA-1133,Madhya Pradesh,Indore,Pipeline Project,Objection and Legal Review,5,139,158,45,50.61,83.4,0,0,14,1,0,0,1,0,0,0
LA-1134,Uttar Pradesh,Agra,Defense Installation,Objection and Legal Review,5,356,107,30,170.59,74.9,0,0,26,3,1,25,17,0,0,0
LA-1135,Madhya Pradesh,Bhopal,Pipeline Project,Preliminary Notification,2,755,128,76,106.07,90.1,1,0,104,2,0,0,46,0,1,143
LA-1136,Gujarat,Gandhinagar,Defense Installation,Objection and Legal Review,5,577,398,91,62.43,100.0,0,0,25,0,0,30,0,0,0,0
LA-1137,Madhya Pradesh,Bhopal,Defense Installation,R&R and Rehabilitation,8,800,205,83,116.03,72.7,0,0,7,5,1,16,0,0,0,0
LA-1138,Rajasthan,Udaipur,Highway Construction,Survey and Verification,3,524,229,128,180.64,57.1,1,1,118,0,0,40,0,0,1,104
LA-1139,Karnataka,Bengaluru,Highway Construction,Objection and Legal Review,5,899,495,39,157.63,77.2,0,0,17,3,0,5,4,0,0,0
LA-1140,Rajasthan,Bikaner,Defense Installation,Land Identification,1,435,414,303,81.83,100.0,0,1,38,0,0,0,9,0,0,0
LA-1141,Gujarat,Ahmedabad,Power Transmission,Compensation Disbursement,7,716,421,147,229.71,96.3,0,0,11,1,0,11,0,0,0,0
LA-1142,Madhya Pradesh,Bhopal,Dam / Irrigation,Preliminary Notification,2,350,330,0,232.71,93.3,0,1,55,3,0,12,25,0,1,33
LA-1143,Rajasthan,Jodhpur,Urban Infrastructure,R&R and Rehabilitation,8,892,255,202,199.07,74.9,1,0,48,3,0,60,13,3,1,69
LA-1144,Madhya Pradesh,Gwalior,Dam / Irrigation,Land Identification,1,829,282,13,205.74,95.9,0,0,3,2,0,18,1,0,0,0
LA-1145,Madhya Pradesh,Indore,Defense Installation,Ownership Verification,4,134,402,402,203.07,89.4,0,0,1,4,1,0,0,0,0,0
LA-1146,Karnataka,Hubli,Defense Installation,Objection and Legal Review,5,199,365,352,73.51,100.0,0,0,18,2,0,0,0,0,0,0
LA-1147,Madhya Pradesh,Sagar,Railway Expansion,Preliminary Notification,2,168,369,165,80.86,62.4,0,0,27,1,0,0,0,0,0,0
LA-1148,Gujarat,Rajkot,Dam / Irrigation,Land Identification,1,621,237,136,237.59,100.0,0,0,25,2,0,28,0,0,0,0
LA-1149,Odisha,Bhubaneswar,Pipeline Project,Survey and Verification,3,680,285,173,144.69,83.1,0,0,6,4,1,30,0,0,0,0
LA-1150,Uttar Pradesh,Allahabad,Highway Construction,Project Initiation,0,77,108,108,220.6,73.6,0,1,52,3,0,14,0,0,1,64
LA-1151,Uttar Pradesh,Lucknow,Urban Infrastructure,Survey and Verification,3,286,114,24,119.46,100.0,0,1,54,0,0,23,0,0,1,70
LA-1152,Gujarat,Ahmedabad,Highway Construction,Land Identification,1,742,193,138,193.48,76.9,0,0,2,2,0,23,2,0,0,0
LA-1153,Odisha,Cuttack,Dam / Irrigation,Compensation Assessment,6,100,445,325,35.43,79.7,0,0,4,3,0,29,0,0,0,0
LA-1154,Maharashtra,Thane,Defense Installation,Project Initiation,0,389,270,145,151.93,97.2,1,1,128,3,1,78,0,0,1,147
LA-1155,Odisha,Cuttack,Pipeline Project,Preliminary Notification,2,425,445,341,136.82,98.1,0,0,29,3,0,0,9,0,0,0
LA-1156,Rajasthan,Kota,Railway Expansion,Compensation Assessment,6,47,147,103,230.27,79.4,0,1,64,1,0,22,26,2,1,88
LA-1157,Madhya Pradesh,Sagar,Railway Expansion,Land Identification,1,347,346,248,185.55,95.3,0,0,2,2,0,29,0,0,0,0
LA-1158,Karnataka,Mysuru,Highway Construction,Preliminary Notification,2,197,380,370,221.66,72.9,0,0,8,2,0,0,14,0,0,0
LA-1159,Odisha,Sambalpur,Power Transmission,Project Initiation,0,566,193,170,223.62,77.6,0,1,61,1,0,11,0,0,1,62
LA-1160,Madhya Pradesh,Bhopal,Highway Construction,Compensation Assessment,6,42,297,104,225.53,69.2,1,1,136,0,0,80,34,3,1,139
LA-1161,Gujarat,Ahmedabad,Pipeline Project,Ownership Verification,4,319,193,23,148.13,34.1,0,0,11,3,1,6,6,0,0,0
LA-1162,Rajasthan,Bikaner,Mining Development,Project Initiation,0,808,5,3,184.65,83.3,0,0,17,2,0,11,0,0,0,0
LA-1163,Uttar Pradesh,Lucknow,Industrial Corridor,Survey and Verification,3,572,463,15,21.68,100.0,0,0,1,6,1,29,0,0,0,0
LA-1164,Maharashtra,Thane,Dam / Irrigation,Objection and Legal Review,5,682,167,65,235.92,85.0,0,0,8,2,0,27,0,0,0,0
LA-1165,Rajasthan,Ajmer,Railway Expansion,Ownership Verification,4,189,51,43,206.68,97.5,1,0,73,0,0,0,40,0,1,81
LA-1166,Odisha,Rourkela,Dam / Irrigation,Project Initiation,0,123,442,54,62.84,74.4,0,0,9,3,0,8,0,0,0,0
LA-1167,Gujarat,Ahmedabad,Dam / Irrigation,Land Identification,1,154,38,28,202.42,100.0,1,0,50,0,0,65,8,0,1,69
LA-1168,Uttar Pradesh,Lucknow,Highway Construction,Compensation Assessment,6,502,457,214,37.58,63.0,0,1,31,3,0,0,0,2,1,49
LA-1169,Uttar Pradesh,Varanasi,Defense Installation,R&R and Rehabilitation,8,593,200,131,136.36,74.4,0,0,7,0,0,0,2,0,0,0
LA-1170,Gujarat,Vadodara,Mining Development,Compensation Disbursement,7,359,397,163,40.33,73.3,0,0,1,2,0,0,9,0,0,0
LA-1171,Rajasthan,Bikaner,Industrial Corridor,Preliminary Notification,2,302,126,18,174.56,50.9,0,0,25,1,0,12,0,0,0,0
LA-1172,Madhya Pradesh,Bhopal,Urban Infrastructure,Project Initiation,0,611,124,55,150.61,60.7,0,1,35,0,0,15,0,0,1,46
LA-1173,Madhya Pradesh,Indore,Dam / Irrigation,Land Identification,1,378,196,93,146.71,73.7,0,0,29,3,1,4,0,0,0,0
LA-1174,Uttar Pradesh,Kanpur,Urban Infrastructure,R&R and Rehabilitation,8,169,119,38,94.91,100.0,0,0,22,2,0,30,0,0,0,0
LA-1175,Karnataka,Dharwad,Power Transmission,Project Initiation,0,160,476,293,202.3,82.5,0,0,18,2,0,0,0,0,0,0
LA-1176,Maharashtra,Nagpur,Dam / Irrigation,Land Identification,1,369,10,1,66.67,65.4,0,0,28,3,0,30,0,0,0,0
LA-1177,Uttar Pradesh,Lucknow,Highway Construction,Objection and Legal Review,5,79,408,228,216.08,88.7,0,0,15,3,0,0,0,0,0,0
LA-1178,Rajasthan,Kota,Railway Expansion,Preliminary Notification,2,848,285,138,235.49,59.7,0,0,2,0,0,0,5,0,1,14
LA-1179,Madhya Pradesh,Jabalpur,Highway Construction,R&R and Rehabilitation,8,471,149,83,98.53,92.1,0,0,6,5,1,13,0,0,0,0
LA-1180,Madhya Pradesh,Jabalpur,Dam / Irrigation,Ownership Verification,4,85,162,89,196.33,69.8,0,1,28,0,0,5,44,1,1,50
LA-1181,Maharashtra,Kolhapur,Mining Development,Ownership Verification,4,426,390,216,167.2,96.9,0,0,7,1,1,26,34,0,0,0
LA-1182,Odisha,Berhampur,Defense Installation,Compensation Disbursement,7,804,248,126,213.56,62.7,0,0,27,1,0,29,0,0,0,0
LA-1183,Maharashtra,Thane,Mining Development,Preliminary Notification,2,849,221,221,50.88,35.8,0,1,33,0,0,0,0,0,1,40
LA-1184,Uttar Pradesh,Kanpur,Railway Expansion,Project Initiation,0,119,62,28,147.19,57.5,0,0,14,3,0,29,0,0,0,0
LA-1185,Odisha,Bhubaneswar,Railway Expansion,Final Acquisition,9,606,24,17,154.75,87.8,0,0,20,3,0,15,0,0,0,0
LA-1186,Karnataka,Dharwad,Defense Installation,Ownership Verification,4,69,436,59,25.01,52.7,1,0,33,2,0,70,56,0,1,76
LA-1187,Gujarat,Vadodara,Power Transmission,Compensation Disbursement,7,776,164,30,177.54,100.0,0,0,26,2,1,13,29,0,0,0
LA-1188,Madhya Pradesh,Ujjain,Highway Construction,Survey and Verification,3,207,330,330,230.81,99.9,0,1,32,3,0,29,9,0,0,0
LA-1189,Gujarat,Gandhinagar,Pipeline Project,Land Identification,1,211,442,393,143.28,69.8,0,0,26,1,0,28,0,0,0,0
LA-1190,Karnataka,Mysuru,Industrial Corridor,Project Initiation,0,305,336,285,56.33,74.2,0,0,21,1,0,0,0,0,0,0
